"","Plot","Plant_sp","Plant_id","Mean_fruit_set","Mean_N_seeds","N_flowers","N_seeds_plant","N_seeds_sc","Mean_N_seeds_sc","N_flowers_sc"
"319","D","ROFF","58",0.93,1.6,1510,2246.88,0.066574208028051,0.230769230769231,0.11871010528061
"320","D","ROFF","59",0.773333333333333,3,152,352.64,0.00846147891348896,0.769230769230769,0.00613446074774103
"321","D","ROFF","60",0.702380952380952,2,186,261.285714285714,0.00565885260469568,0.384615384615385,0.00895299676697339
"322","D","SGEN","166",0.20001443001443,2.85333333333333,272,155.232532563733,0.200924635682525,0.710089399744572,0.214638157894737
"323","D","SGEN","167",0.331326432022084,2.8,154,142.867957487923,0.184774945489736,0.689655172413793,0.117598684210526
"324","D","SGEN","168",0.104454804454804,2.18,550,125.241310541311,0.161752327601123,0.452107279693487,0.443256578947368
"325","D","SGEN","169",0.284651015539113,2.33,179,118.719399050898,0.153233890906843,0.509578544061303,0.138157894736842
"326","D","SGEN","170",0.0636363636363636,2,11,1.4,0,0.383141762452107,0
"327","D","SGEN","171",0.127417027417027,1.25,164,26.1204906204906,0.0322880699487772,0.0957854406130268,0.125822368421053
"328","D","SGEN","172",0.0436079182630907,2.5,355,38.702027458493,0.0487211394911679,0.574712643678161,0.282894736842105
"329","D","SGEN","173",0.215288446858165,2.33333333333333,602,302.408505020102,0.39315496664172,0.510855683269476,0.486019736842105
"330","D","SGEN","174",0.234047619047619,2.92,90,61.5077142857143,0.0785082348531375,0.735632183908046,0.0649671052631579
"331","D","SGEN","175",0.209613526570048,1.915,244,97.9440164251208,0.126098628191722,0.350574712643678,0.191611842105263
"332","D","SGEN","176",0.167134894091416,2.125,68,24.1509921962096,0.0297156572946982,0.431034482758621,0.046875
"333","D","SGEN","177",0.252142857142857,1.655,101,42.1469392857143,0.053220627618337,0.25095785440613,0.0740131578947368
"334","D","SGEN","178",0.217835497835498,3.5,395,301.157575757576,0.391521095690309,0.957854406130268,0.31578947368421
"335","D","SGEN","179",0.179365079365079,2,37,13.2730158730159,0.0155076520485042,0.383141762452107,0.0213815789473684
"336","D","SGEN","180",0.130396864664599,2.63,320,109.742001301727,0.141508280321956,0.624521072796935,0.254111842105263
"337","D","TMAS","591",0.00844947735191638,1,328,2.77142857142857,0.00576449489353053,0,0.109867751780264
"338","D","TMAS","592",0.125209521935865,1.4,501,87.8219586858155,0.182667248798434,0.571428571428571,0.168531705662937
"339","D","TMAS","593",0.00832376578645235,1.25,122,1.26937428243398,0.0026402634527571,0.357142857142857,0.0400135639199729
"340","D","TMAS","594",0.0103174603174603,1,207,2.13571428571429,0.00444222673496296,0,0.0688368938623262
"341","D","TMAS","595",0.0117647058823529,1.5,141,2.48823529411765,0.00517546069731471,0.714285714285714,0.0464564259070872
"342","D","TMAS","596",0,1,204,0,0,0,0.0678195998643608
"343","D","TMAS","597",0.00344827586206897,1,420,1.44827586206897,0.003012373797899,0,0.14106476771787
"344","D","TMAS","598",0.00629885057471264,1,345,2.17310344827586,0.00451999516056178,0,0.115632417768735
"345","D","TMAS","599",0.00792612442202606,1.33333333333333,296,3.12817710522629,0.0065065219919563,0.476190476190476,0.0990166158019668
"346","D","TMAS","600",0.0784209852383368,1.1,448,38.6458615254524,0.0803823247390159,0.142857142857143,0.150559511698881
"347","E","CLIB","411",0.95,11.2,106,1127.84,0.101788374672468,0.356589147286822,0.12378640776699
"348","E","CLIB","412",0.745238095238095,14.2,158,1672.01619047619,0.151839165645952,0.589147286821705,0.186893203883495
"349","E","CLIB","413",0.719495798319328,14,417,4200.41647058823,0.384389644942828,0.573643410852713,0.50121359223301
"350","E","CLIB","414",0.560952380952381,10.7,77,462.168666666667,0.0405630264400288,0.317829457364341,0.0885922330097087
"351","E","CLIB","415",0.596666666666667,9.8,120,701.68,0.0625921631245225,0.248062015503876,0.140776699029126
"352","E","CLIB","416",0.831944444444444,17.6,87,1273.87333333333,0.115219840381087,0.852713178294574,0.100728155339806
"353","E","CLIB","417",0.600128205128205,17.4,33,344.593615384615,0.0297490209425353,0.837209302325581,0.0351941747572816
"354","E","CLIB","418",0.518333333333333,10.2,4,21.148,0,0.27906976744186,0
"355","E","CLIB","419",0.695555555555555,17.2,76,909.230222222222,0.0816816656987795,0.821705426356589,0.087378640776699
"356","E","CLIB","420",0.782222222222222,11.9,186,1731.37066666667,0.157298313865117,0.410852713178295,0.220873786407767
"357","E","CLIB","421",0.764247517188694,12.6,223,2147.38267379679,0.195561160302976,0.465116279069767,0.265776699029126
"358","E","CLIB","422",0.743549783549784,13.5,770,7729.2,0.708950715258507,0.534883720930233,0.929611650485437
"359","E","CLIB","423",0.866883116883117,13,280,3155.45454545455,0.288278914989081,0.496124031007752,0.33495145631068
"360","E","CLIB","424",0.534285714285714,17.9,9,86.0734285714286,0.00597153846707046,0.875968992248062,0.00606796116504854
"361","E","CLIB","425",0.821001221001221,14.7,93,1122.39076923077,0.101287179811373,0.627906976744186,0.108009708737864
"362","E","CSAL","361",0.479145299145299,33.4,56,896.193367521367,1,0.727272727272727,1
"363","E","CSAL","362",0.427380952380952,33,32,451.314285714286,0.503590298779493,0.708782742681048,0.571428571428571
"364","E","CSAL","363",0.526349206349206,25.75,12,162.641904761905,0.181480817261267,0.373651771956857,0.214285714285714
"365","E","CSAL","364",0.275208125208125,31.9,20,175.582783882784,0.19592064642076,0.657935285053929,0.357142857142857
"366","E","CSAL","365",0.3,17.6666666666667,2,10.6,0.0118278045611036,0,0.0357142857142857
"367","E","CSAL","365_1",0.188717948717949,18.25,0,0,0,0.0269645608628659,0
"368","E","CSAL","365_2",0.308717948717949,39.3,14,169.856615384615,0.18953121228111,1,0.25
"369","E","CSAL","365_3",0.152046783625731,33.5,0,0,0,0.731895223420647,0
"370","E","CSAL","365_4",0.394444444444444,31.2,0,0,0,0.62557781201849,0
"371","E","HCOM","181",0.071787946878691,2.85714285714286,751,154.036423159705,0.0465294067923664,0.339954163483575,0.410184667039731
"372","E","HCOM","182",0.237014274817478,3.125,356,263.678380734445,0.0800123629725451,0.404411764705882,0.189143816452154
"373","E","HCOM","183",0.203102453102453,2.85714285714286,196,113.737373737374,0.0342227010771662,0.339954163483575,0.0996082820369334
"374","E","HCOM","184",0.236153846153846,3.44444444444444,196,159.430085470085,0.0481765477481089,0.481283422459893,0.0996082820369334
"375","E","HCOM","185",0.252775033642664,4.3,1152,1252.1464066523,0.381875192945773,0.68716577540107,0.634583100167879
"376","E","HCOM","186",0.338151260504202,3,1278,1296.47193277311,0.395411522299931,0.374331550802139,0.705092333519866
"377","E","HCOM","187",0.185957066189624,2.44444444444444,741,336.83023255814,0.102351805858195,0.240641711229947,0.40458869613878
"378","E","HCOM","188",0.306509372979961,2.88888888888889,369,326.738991596639,0.099270097118297,0.347593582887701,0.196418578623391
"379","E","HCOM","189",0.356272893772894,3.33333333333333,608,722.046398046398,0.219990858226879,0.454545454545455,0.330162283156128
"380","E","HCOM","190",0.150793650793651,2.875,166,71.9662698412698,0.0214664527185253,0.344251336898396,0.0828203693340795
"381","E","HCOM","191",0.475413533834586,2.77777777777778,937,1237.39578111947,0.3773705803023,0.320855614973262,0.514269725797426
"382","E","HCOM","192",0.307277167277167,2.25,171,118.22489010989,0.0355931190939767,0.193850267379679,0.0856183547845551
"383","E","HCOM","193",0.253290043290043,2.8,333,236.167636363636,0.0716110076098049,0.32620320855615,0.176273083379966
"384","E","HCOM","194",0.115042735042735,3,197,67.9902564102564,0.0202522397800918,0.374331550802139,0.100167879127029
"385","E","HCOM","195",0.252950513538749,3,378,286.845882352941,0.0870873592481958,0.374331550802139,0.201454952434247
"386","E","HHAL","533",0.811557017151646,38.7,767,24089.3657844106,0.641682338412912,0.727861771058315,0.379960317460317
"387","E","HHAL","534",0.573992673992674,18.6,56,597.870769230769,0.0155792840667886,0.293736501079914,0.027281746031746
"388","E","HHAL","535",0.475,22.5,63,673.3125,0.0175899818971843,0.377969762419006,0.0307539682539683
"389","E","HHAL","536",0.911666666666667,29.3,56,1495.86266666667,0.0395128595756857,0.524838012958963,0.027281746031746
"390","E","HHAL","537",0.868831168831169,21.6,2000,37533.5064935065,1,0.3585313174946,0.99156746031746
"391","E","HHAL","538",0.735811310031259,18.3,236,3177.821885763,0.0843409900834014,0.287257019438445,0.11656746031746
"392","E","HHAL","539",0.878769230769231,31.8571428571429,548,15341.3021538462,0.408526068232092,0.580067880283863,0.271329365079365
"393","E","HHAL","540",0.72987012987013,20.1,504,7393.87636363636,0.196708661199286,0.326133909287257,0.249503968253968
"394","E","HHAL","541",0.528888888888889,34.3,44,798.199111111111,0.0209185009468692,0.632829373650108,0.0213293650793651
"395","E","HHAL","543",0.559242424242424,19.9,27,300.480954545454,0.00765315287822078,0.321814254859611,0.0128968253968254
"396","E","HHAL","544",0.75,44,2,66,0.00140368932845361,0.842332613390929,0.000496031746031746
"397","E","HHAL","545",0.869166666666667,16.4545454545455,147,2102.35613636364,0.0556773230793016,0.247398389946986,0.0724206349206349
"398","E","LPED","321",0.275299283809922,2.1,283,163.610364368237,0.111594686682253,0.523809523809524,0.165664662658651
"399","E","LPED","322",0.189067261241174,1.6,524,158.513991824601,0.107984306178204,0.285714285714286,0.326653306613226
"400","E","LPED","323",0.307864096948108,2.6,491,393.019306163955,0.274112941347102,0.761904761904762,0.304609218436874
"401","E","LPED","324",0.323731361231361,2.6,122,102.687587782588,0.068435674472289,0.761904761904762,0.0581162324649299
"402","E","LPED","325",0.288454106280193,2.4,608,420.912231884058,0.293872893030084,0.666666666666667,0.382765531062124
"403","E","LPED","326",0.419020467836257,1.8,331,249.652394736842,0.172548721402388,0.380952380952381,0.197728790915164
"404","E","LPED","327",0.360748548278391,2,329,237.372544767181,0.163849410168074,0.476190476190476,0.196392785571142
"405","E","LPED","328",0.392618075387452,1.7,312,208.244627185504,0.14321456354727,0.333333333333333,0.185036740146961
"406","E","LPED","329",0.355288656070985,2,321,228.095317197572,0.157277221564877,0.476190476190476,0.191048764195057
"407","E","LPED","330",0.343306645668549,1.7,390,227.612306078248,0.156935046044246,0.333333333333333,0.237140948563794
"408","E","LPED","331",0.288789186290283,3.1,263,235.449823582468,0.162487312907607,1,0.152304609218437
"409","E","LPED","332",0.343722943722944,2.3,254,200.802943722944,0.137942714077773,0.619047619047619,0.146292585170341
"410","E","LPED","333",0.351512901699603,2.2,728,562.983063362085,0.394518941914931,0.571428571428572,0.462925851703407
"411","E","LPED","334",0.268595146871009,2.1,358,201.929831417625,0.138741025686332,0.523809523809524,0.215764863059452
"412","E","LPED","335",0.296323008608478,1.9,148,83.3260300207039,0.0547195283167656,0.428571428571428,0.0754843019372077
"413","E","ROFF","76",0.882395382395382,3.11111111111111,1443,3961.367003367,0.119172357574626,0.811965811965812,0.113155931360358
"414","E","ROFF","77",0.655357142857143,1.66666666666667,349,381.199404761905,0.00933764294370779,0.256410256410256,0.0224653900356462
"415","E","ROFF","78",0.791861471861472,1.88888888888889,1475,2206.21404521405,0.0653266313668775,0.341880341880342,0.115808671143165
"416","E","ROFF","79",0.86547619047619,1.8,1011,1574.99357142857,0.045961638332911,0.307692307692308,0.0773439442924646
"417","E","ROFF","80",0.691190476190476,1.5,1441,1494.00821428571,0.0434771167718158,0.192307692307692,0.112990135123933
"418","E","ROFF","81",0.725,2.11111111111111,3146,4815.12777777778,0.145364586971097,0.427350427350427,0.254331426676614
"419","E","ROFF","82",0.748095238095238,2.16666666666667,664,1076.25968253968,0.0306611550861988,0.448717948717949,0.0485782972726519
"420","E","ROFF","83",0.7,1,229,160.3,0.00256074705380125,0,0.0125176158501202
"421","E","ROFF","84",0.898484848484848,2,748,1344.13333333333,0.0388791575069587,0.384615384615385,0.0555417392025201
"422","E","ROFF","85",0.776330532212885,1.88888888888889,1218,1786.07777777778,0.052437417169771,0.341880341880342,0.0945038547624969
"423","E","ROFF","86",0.857272727272727,2.6,946,2108.548,0.062330368787049,0.615384615384615,0.071955566608638
"424","E","ROFF","87",0.811666666666667,2,383,621.736666666667,0.016717001812188,0.384615384615385,0.0252839260548786
"425","E","ROFF","88",0.842261904761905,2.1,1287,2276.38125,0.067479266600244,0.423076923076923,0.100223824919174
"426","E","ROFF","89",0.714761904761905,2.5,889,1588.55833333333,0.0463777869381959,0.576923076923077,0.0672303738705131
"427","E","ROFF","90",0.742857142857143,2.75,2264,4625.02857142857,0.139532599639257,0.673076923076923,0.181215286412998
"428","E","SGEN","351",0.224040404040404,1,132,29.5733333333333,0.0367979168100682,0,0.0995065789473684
"429","E","SGEN","352",0.2311004784689,3.27,348,262.983100478469,0.341660429614046,0.869731800766283,0.277138157894737
"430","E","SGEN","353",0.163281761716544,1.395,584,133.022385635234,0.171915390331805,0.151340996168582,0.471217105263158
"431","E","SGEN","354",0.146181818181818,3.61,279,147.232865454545,0.190476064286686,1,0.220394736842105
"432","E","SGEN","355",0.0366666666666667,1,49,1.79666666666667,0.000518096557075025,0,0.03125
"433","E","SGEN","357",0.048859649122807,1.6,399,31.192,0.0389120990631407,0.229885057471264,0.319078947368421
"434","E","SGEN","358",0.177836990595611,1.935,148,50.9289573667712,0.0646910477829576,0.35823754789272,0.112664473684211
"435","E","SGEN","359",0.298679653679654,2.0825,196,121.912074242424,0.157403926262949,0.414750957854406,0.152138157894737
"436","E","SGEN","360",0.149300038714673,2.58,130,50.0752329849013,0.0635759763637867,0.60536398467433,0.0978618421052632
"437","E","TMAS","601",0.045692484719297,1,766,35.0004432949815,0.0727999554905454,0,0.258392675483215
"438","E","TMAS","602",0.0624515281017579,1.4,720,62.951140326572,0.130936633437172,0.571428571428571,0.242794167514412
"439","E","TMAS","603",0.0139689578713969,1.5,177,3.70875831485588,0.0077141148748082,0.714285714285714,0.0586639538826721
"440","E","TMAS","604",0.0388779435219064,1.2,60,2.79921193357726,0.0058222835195418,0.285714285714286,0.018989487962021
"441","E","TMAS","605",0.00176991150442478,1,2953,5.22654867256637,0.0108710769039476,0,1
"442","E","TMAS","606",0.00646675358539765,1,145,0.93767926988266,0.00195034698665238,0,0.0478128179043744
"443","E","TMAS","607",0.0163459931880984,1,334,5.45956172482488,0.0113557376178183,0,0.111902339776195
"444","E","TMAS","608",0.00192307692307692,1,220,0.423076923076923,0.000879988316419213,0,0.0732451678535097
"445","E","TMAS","609",0.0347537316287316,1.125,1555,60.7973092680124,0.126456724314999,0.178571428571429,0.525940996948118
"446","F","CLIB","426",0.672380952380952,16.2,7,76.248,0.00506784131849963,0.744186046511628,0.00364077669902913
"447","F","CLIB","427",0.811341991341991,14.6,219,2594.18488311688,0.236655946103144,0.62015503875969,0.260922330097087
"448","F","CLIB","428",0.904444444444444,17.1,125,1933.25,0.17586623449702,0.813953488372093,0.146844660194175
"449","F","CLIB","429",0.566337054758107,16.3,92,849.279047315258,0.0761676359113727,0.751937984496124,0.106796116504854
"450","F","CLIB","430",0.708730158730159,16.2,828,9506.62285714286,0.872429789593792,0.744186046511628,1
"451","F","CLIB","431",0.76030303030303,14.4,51,558.366545454546,0.0494108591963488,0.604651162790698,0.0570388349514563
"452","F","CLIB","432",0.828939393939394,13.2,236,2582.312,0.235563933623481,0.511627906976744,0.281553398058252
"453","F","CLIB","433",0.541795665634675,15.6,258,2180.61919504644,0.1986181006963,0.697674418604651,0.308252427184466
"454","F","CLIB","434",0.821969696969697,13.8,37,419.697727272727,0.0366567472840197,0.558139534883721,0.0400485436893204
"455","F","CLIB","435",0.8,16.6,211,2802.08,0.25577717048163,0.775193798449613,0.25121359223301
"456","F","CLIB","561",0.697142857142857,14.1,27,265.402285714286,0.0224653713496093,0.581395348837209,0.0279126213592233
