ID;Plot;Plant_sp;Plant_sp_complete;Plant_id;N_fruit;N_seeds;Weight;predated_seeds;Antagonist_collected;Notes;Num_fruit;Num_seeds;Seeds_depredadas;Promedio
129;B;HCOM;Halimium_commutatum;122;1;3;;;;;;;;
129;B;HCOM;Halimium_commutatum;122;2;3;;;;;;;;
129;B;HCOM;Halimium_commutatum;122;3;3;;;;;;;;
129;B;HCOM;Halimium_commutatum;122;4;2;;;;;;;;
129;B;HCOM;Halimium_commutatum;122;5;3;;;;;;;;
129;B;HCOM;Halimium_commutatum;122;6;3;;;;;;;;
129;B;HCOM;Halimium_commutatum;122;7;3;;;;;;;;
129;B;HCOM;Halimium_commutatum;122;8;3;;;;Blancas con hongos;;;;
129;B;HCOM;Halimium_commutatum;122;9;4;;;;;;;;
129;B;HCOM;Halimium_commutatum;122;10;1;;;;;;;;
130;B;HCOM;Halimium_commutatum;123;1;3;;;;;;;;
130;B;HCOM;Halimium_commutatum;123;2;1;;;;;;;;
130;B;HCOM;Halimium_commutatum;123;3;2;;;;;;;;
130;B;HCOM;Halimium_commutatum;123;4;1;;;;;;;;
130;B;HCOM;Halimium_commutatum;123;5;3;;;;;;;;
130;B;HCOM;Halimium_commutatum;123;6;3;;;;;;;;
130;B;HCOM;Halimium_commutatum;123;7;2;;;;;;;;
130;B;HCOM;Halimium_commutatum;123;8;3;;;;;;;;
130;B;HCOM;Halimium_commutatum;123;9;3;;;;;;;;
130;B;HCOM;Halimium_commutatum;123;10;2;;;;;;;;
131;B;HCOM;Halimium_commutatum;124;1;1;;;;;;;;
131;B;HCOM;Halimium_commutatum;124;2;2;;;;;;;;
131;B;HCOM;Halimium_commutatum;124;3;2;;;;;;;;
131;B;HCOM;Halimium_commutatum;124;4;2;;;;;;;;
131;B;HCOM;Halimium_commutatum;124;5;1;;;;;;;;
131;B;HCOM;Halimium_commutatum;124;6;2;;;;;;;;
131;B;HCOM;Halimium_commutatum;124;7;2;;;;;;;;
131;B;HCOM;Halimium_commutatum;124;8;2;;;;;;;;
131;B;HCOM;Halimium_commutatum;124;9;2;;;;;;;;
131;B;HCOM;Halimium_commutatum;124;10;3;;;;;;;;
