ID;Plot;Plant_sp;Plant_sp_complete;Plant_id
572;E;HHAL;Halimium_halimifolium;544
573;E;HHAL;Halimium_halimifolium;545
574;E;TMAS;Thymus_mastichina;601
575;E;TMAS;Thymus_mastichina;602
576;E;TMAS;Thymus_mastichina;603
577;E;TMAS;Thymus_mastichina;604
578;E;TMAS;Thymus_mastichina;605
579;E;TMAS;Thymus_mastichina;606
580;E;TMAS;Thymus_mastichina;607
581;E;TMAS;Thymus_mastichina;608
582;E;TMAS;Thymus_mastichina;609
583;E;TMAS;Thymus_mastichina;610
584;F;LPED;Lavandula_pedunculata;336
585;F;LPED;Lavandula_pedunculata;337
586;F;LPED;Lavandula_pedunculata;338
587;F;LPED;Lavandula_pedunculata;339
588;F;LPED;Lavandula_pedunculata;340
589;F;LPED;Lavandula_pedunculata;341
590;F;LPED;Lavandula_pedunculata;342
591;F;LPED;Lavandula_pedunculata;343
592;F;LPED;Lavandula_pedunculata;344
593;F;LPED;Lavandula_pedunculata;345
594;F;LPED;Lavandula_pedunculata;346
595;F;LPED;Lavandula_pedunculata;347
596;F;LPED;Lavandula_pedunculata;348
597;F;LPED;Lavandula_pedunculata;349
598;F;LPED;Lavandula_pedunculata;350
599;F;ROFF;Rosmarinus_officinalis;91
600;F;ROFF;Rosmarinus_officinalis;92
601;F;ROFF;Rosmarinus_officinalis;93
602;F;ROFF;Rosmarinus_officinalis;94
603;F;ROFF;Rosmarinus_officinalis;95
604;F;ROFF;Rosmarinus_officinalis;96
605;F;ROFF;Rosmarinus_officinalis;97
606;F;ROFF;Rosmarinus_officinalis;98
607;F;ROFF;Rosmarinus_officinalis;99
608;F;ROFF;Rosmarinus_officinalis;100
609;F;ROFF;Rosmarinus_officinalis;101
610;F;ROFF;Rosmarinus_officinalis;102
611;F;ROFF;Rosmarinus_officinalis;103
612;F;ROFF;Rosmarinus_officinalis;104
613;F;ROFF;Rosmarinus_officinalis;105
614;F;HCOM;Halimium_commutatum;196
615;F;HCOM;Halimium_commutatum;197
616;F;HCOM;Halimium_commutatum;198
617;F;HCOM;Halimium_commutatum;199
618;F;HCOM;Halimium_commutatum;200
619;F;HCOM;Halimium_commutatum;201
620;F;HCOM;Halimium_commutatum;202
621;F;HCOM;Halimium_commutatum;203
622;F;HCOM;Halimium_commutatum;204
623;F;HCOM;Halimium_commutatum;205
624;F;HCOM;Halimium_commutatum;206
625;F;HCOM;Halimium_commutatum;207
626;F;HCOM;Halimium_commutatum;208
627;F;HCOM;Halimium_commutatum;209
